Dados para confecção da rede neural;;;;;;;
Amostras;?(%);CZ (%);MV (%);CF (%);PCS (MJ/kg);EDF;EY
B;-;3,25;75,33;21,42;19,29;-;-
1;61,32;7,75;76,88;21,69;19,59;1,02;62,28
2;61,43;0,14;83,95;15,91;18,71;0,97;59,58
3;47,14;1,48;79,75;18,77;19,06;0,99;46,57
4;54,26;1,10;78,90;20,00;19,36;1,00;54,46
5;53,57;0,54;75,88;23,58;20,16;1,05;55,99
6;48,32;0,32;72,23;27,45;20,96;1,09;52,51
7;49,10;1,80;66,22;31,98;21,62;1,12;55,02
8;45,88;0,74;64,64;34,62;22,31;1,16;53,06
9;58,00;0,79;74,38;24,83;20,37;1,06;61,24
10;52,94;1,25;65,24;33,51;22,01;1,14;60,40
11;61,38;3,95;80,42;18,80;19,15;0,99;60,93
12;54,23;4,62;78,32;20,23;19,33;1,00;54,33
13;57,79;4,43;77,89;20,85;19,48;1,01;58,35
14;57,45;4,15;76,38;22,64;19,88;1,03;59,19
15;54,82;4,04;74,56;24,57;20,28;1,05;57,62
16;55,21;4,78;71,55;26,84;20,61;1,07;58,97
17;53,60;4,25;70,76;28,16;20,95;1,09;58,22
18;59,66;4,27;75,63;23,26;19,98;1,04;61,79
19;57,13;4,50;71,06;27,60;20,80;1,08;61,60
20;54,29;0,81;81,85;17,34;18,89;0,98;53,14
21;57,85;0,62;81,43;17,96;19,04;0,99;57,08
22;57,50;0,34;79,92;19,75;19,44;1,01;57,93
23;54,88;0,23;78,09;21,68;19,84;1,03;56,43
24;55,27;0,97;75,09;23,95;20,17;1,05;57,76
25;53,66;0,44;74,30;25,27;20,51;1,06;57,05
26;59,72;0,47;79,17;20,37;19,54;1,01;60,48
27;57,19;0,70;74,60;24,71;20,36;1,06;60,35
28;50,70;1,29;79,33;19,39;19,21;1,00;50,49
29;50,36;1,01;77,82;21,18;19,61;1,02;51,19
30;47,73;0,90;75,99;23,11;20,01;1,04;49,51
31;48,12;1,64;72,99;25,38;20,34;1,05;50,73
32;46,51;1,11;72,20;26,70;20,69;1,07;49,87
33;52,57;1,14;77,07;21,80;19,71;1,02;53,72
34;50,04;1,37;72,50;26,14;20,53;1,06;53,26
35;53,92;5,50;76,11;21,56;19,44;1,01;54,34
36;51,29;1,70;79,64;18,67;19,00;0,98;50,52
37;51,68;2,37;77,54;20,10;19,18;0,99;51,37
38;50,07;2,18;77,12;20,71;19,33;1,00;50,16
39;56,13;1,90;75,61;22,50;19,73;1,02;57,40
40;53,60;1,79;73,78;24,44;20,13;1,04;55,92
41;57,82;2,53;70,78;26,70;20,46;1,06;61,30
42;61,38;3,95;80,42;18,80;19,15;0,99;60,93
43;54,23;4,62;78,32;20,23;19,33;1,00;54,33
44;57,79;4,43;77,89;20,85;19,48;1,01;58,35
45;57,45;4,15;76,38;22,64;19,88;1,03;59,19
46;54,82;4,04;74,56;24,57;20,28;1,05;57,62
47;54,29;0,81;81,85;17,34;18,89;0,98;53,14
48;57,85;0,62;81,43;17,96;19,04;0,99;57,08
49;57,50;0,34;79,92;19,75;19,44;1,01;57,93
50;54,88;0,23;78,09;21,68;19,84;1,03;56,43
51;50,70;1,29;79,33;19,39;19,21;1,00;50,49
52;50,36;1,01;77,82;21,18;19,61;1,02;51,19
53;47,73;0,90;75,99;23,11;20,01;1,04;49,51
54;53,92;0,82;77,39;21,79;19,76;1,02;55,23
55;51,29;0,71;75,57;23,73;20,16;1,05;53,61
56;50,95;0,43;74,06;25,52;20,56;1,07;54,30
